Rk,Player,Age,Tm,Pos,G,GS,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_Md.,Awards
253.0,Robin Lopez,21.0,PHO,C,51.0,31.0,986.0,0.588,3.9,1.0,0.591,0.271,0.113,0.024,0.0,0.588,0.692,0.481,0.303,0.571,0.0,0.62,0.0,0.216,56.0,0.0,0.0,0.0,0.0,0
254.0,Nazr Mohammed,32.0,CHA,C,58.0,29.0,984.0,0.553,4.8,1.0,0.553,0.219,0.161,0.067,0.0,0.553,0.63,0.493,0.436,0.391,0.0,0.704,0.0,0.14,39.0,0.0,0.0,0.0,0.0,0
255.0,James Singleton,28.0,2TM,SF,57.0,3.0,977.0,0.382,13.3,0.854,0.331,0.126,0.094,0.303,0.146,0.415,0.524,0.313,0.5,0.312,0.189,0.611,0.857,0.063,14.0,0.189,0.286,1.0,0.0,0
255.0,James Singleton,28.0,DAL,SF,25.0,0.0,211.0,0.375,15.9,0.656,0.25,0.016,0.078,0.313,0.344,0.452,0.563,0.0,0.4,0.4,0.227,0.632,0.8,0.063,4.0,0.227,0.2,0.0,0.0,0
255.0,James Singleton,28.0,WAS,PF,32.0,3.0,766.0,0.384,10.7,0.921,0.358,0.163,0.1,0.3,0.079,0.406,0.515,0.323,0.526,0.281,0.133,0.606,1.0,0.063,10.0,0.133,0.5,1.0,0.0,0
256.0,Jason Kapono,28.0,PHI,SF,57.0,12.0,976.0,0.419,21.0,0.432,0.04,0.007,0.09,0.296,0.568,0.485,0.75,0.5,0.444,0.461,0.368,0.714,0.937,0.0,0.0,0.333,0.491,0.0,0.0,0
257.0,Morris Peterson,32.0,NOH,SG,46.0,39.0,973.0,0.385,18.3,0.432,0.169,0.05,0.053,0.159,0.568,0.415,0.569,0.4,0.188,0.333,0.363,0.815,0.935,0.007,1.0,0.409,0.414,1.0,0.0,0
258.0,Keyon Dooling,29.0,NJN,PG,53.0,8.0,971.0,0.398,17.9,0.515,0.148,0.037,0.111,0.219,0.485,0.419,0.583,0.417,0.333,0.352,0.376,0.2,0.814,0.009,3.0,0.382,0.467,0.0,0.0,0
259.0,JaVale McGee,22.0,WAS,C,60.0,19.0,968.0,0.508,4.1,0.997,0.603,0.254,0.117,0.023,0.003,0.51,0.649,0.308,0.278,0.286,0.0,0.641,0.0,0.218,64.0,0.0,0.0,0.0,0.0,0
260.0,Kyle Korver,28.0,UTA,SG,52.0,0.0,952.0,0.493,19.1,0.607,0.075,0.014,0.079,0.439,0.393,0.465,0.619,0.0,0.455,0.455,0.536,0.924,0.932,0.004,1.0,0.545,0.55,0.0,0.0,0
